team_home,team_away,date,odds1,oddsX,odds2,result
Bayern Munich,Borussia Dortmund,2025-04-17,2.03,3.13,2.03,?
Sassuolo,Empoli,2025-03-14,1.8,2.61,2.13,2
Fluminense,Sao Paulo,2025-03-12,3.2,2.62,1.61,1
Palmeiras,São Paulo,2025-02-21,3.27,2.92,2.28,2
Maritimo,Boavista,2025-03-13,3.07,3.41,2.91,2
Marseille,Nice,2025-04-05,2.42,3.14,2.86,?
Flamengo,Vasco da Gama,2025-03-09,2.18,2.51,1.77,X
Bayern Munich,Borussia Dortmund,2025-02-28,1.5,3.3,1.99,X
Leeds United,Aston Villa,2025-04-05,2.64,3.41,2.52,?
Bayer Leverkusen,Bayern Munich,2025-04-03,2.87,2.54,2.86,?
Lazio,Inter,2025-04-07,3.36,2.96,3.42,?
Monza,Spezia,2025-03-07,2.02,3.46,2.82,1
Barcelona,Real Madrid,2025-04-05,2.11,2.82,2.31,?
Palmeiras,Corinthians,2025-04-02,1.61,3.21,3.44,?
Lazio,Fiorentina,2025-03-25,1.99,3.03,3.35,?
VfB Stuttgart,Borussia Dortmund,2025-03-06,2.84,2.98,3.19,2
FC Porto,Sporting CP,2025-03-24,2.12,3.1,3.22,?
Lyon,Lille,2025-04-11,1.69,3.44,2.91,?
Lazio,Inter,2025-04-02,2.33,3.11,2.53,?
Real Madrid,Valencia,2025-03-26,3.35,3.25,3.25,?
Manchester City,Chelsea,2025-03-01,2.9,3.1,3.12,2
Corinthians,Fluminense,2025-03-31,1.67,3.16,2.33,?
Real Sociedad,Athletic Bilbao,2025-03-08,3.25,2.54,2.0,X
Corinthians,Fluminense,2025-04-02,3.14,2.58,2.39,?
Fiorentina,Atalanta,2025-02-25,1.74,3.43,2.27,1
Tottenham,West Ham United,2025-04-01,1.54,2.55,2.21,?
Real Madrid,Valencia,2025-03-25,3.05,2.89,1.67,?
Napoli,Lazio,2025-04-03,2.06,3.28,2.06,?
Milan,Inter,2025-03-02,2.81,3.08,2.87,2
Napoli,Lazio,2025-03-09,1.74,3.35,2.09,1
Celtic,Rangers,2025-03-19,2.34,3.43,3.31,?
Villarreal,Real Betis,2025-03-22,3.2,2.89,2.71,?
Napoli,Lazio,2025-03-04,3.06,3.12,1.64,2
São Paulo,Internacional,2025-02-21,2.58,2.53,2.55,X
Barcelona,Atletico Madrid,2025-02-26,2.16,3.14,3.14,1
Benfica,Portimonense,2025-04-01,1.91,2.57,2.33,?
Celtic,Rangers,2025-04-15,3.07,3.36,2.29,?
Hellas Verona,Torino,2025-02-23,1.88,2.68,1.82,1
Monza,Spezia,2025-02-18,2.01,2.89,2.09,X
RB Leipzig,Wolfsburg,2025-04-10,1.55,3.38,1.59,?
Paris Saint-Germain,Marseille,2025-03-23,2.76,2.99,1.98,?
Juventus,Roma,2025-03-17,2.16,2.62,3.25,X
VfB Stuttgart,Borussia Dortmund,2025-03-08,3.18,2.51,2.46,2
Barcelona,Real Madrid,2025-03-02,2.03,2.62,3.43,2
Corinthians,Fluminense,2025-03-23,2.13,2.76,2.67,?
FC Porto,Sporting CP,2025-03-22,2.35,3.17,2.76,?
Vélez Sarsfield,Boca Juniors,2025-03-25,3.02,2.83,1.75,?
AC Milan,Juventus,2025-03-03,2.94,2.99,2.9,1
Roma,Napoli,2025-03-13,1.87,2.6,2.99,1
Lazio,Inter,2025-04-03,2.42,3.41,1.95,?
Sevilla,Real Betis,2025-04-17,2.67,3.05,1.73,?
Boca Juniors,River Plate,2025-04-16,1.87,3.48,2.95,?
Everton,Newcastle United,2025-03-07,1.76,3.41,2.7,X
Lyon,Lille,2025-03-20,1.86,3.08,2.64,?
Corinthians,Flamengo,2025-04-14,1.99,3.34,2.47,?
Benfica,Portimonense,2025-03-24,2.54,2.85,3.03,?
Leeds United,Aston Villa,2025-04-07,2.91,2.96,3.1,?
Sevilla,Real Betis,2025-04-06,1.98,3.29,3.09,?
Juventus,Roma,2025-04-15,1.93,2.71,2.01,?
Manchester United,Manchester City,2025-04-03,1.62,3.26,2.08,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-03-08,3.06,2.61,3.49,2
Torino,Cagliari,2025-02-23,3.44,2.98,1.58,1
Lyon,Lille,2025-03-16,2.57,3.48,3.0,1
AC Milan,Juventus,2025-02-19,3.4,2.75,2.44,1
Torino,Cagliari,2025-02-27,3.38,2.6,1.97,1
Palmeiras,São Paulo,2025-04-04,3.36,2.57,2.16,?
Bayern Munich,Borussia Dortmund,2025-04-17,2.61,3.24,3.32,?
Real Madrid,Valencia,2025-03-30,3.21,2.69,1.97,?
Santos,Gremio,2025-03-17,3.19,3.11,2.06,1
Marseille,Nice,2025-03-07,2.31,2.87,3.21,X
Bayern Munich,Borussia Dortmund,2025-02-26,3.19,3.01,3.46,X
Napoli,Lazio,2025-04-12,2.72,2.6,2.59,?
Manchester City,Chelsea,2025-03-22,2.62,3.15,3.0,?
RB Leipzig,Wolfsburg,2025-03-21,2.39,2.94,1.98,?
Manchester United,Manchester City,2025-04-07,2.83,2.66,3.42,?
Santos,Gremio,2025-03-05,3.4,2.69,2.83,2
Rangers,Aberdeen,2025-03-28,1.61,2.64,3.26,?
Real Madrid,Valencia,2025-03-03,2.15,3.17,3.3,2
Lazio,Fiorentina,2025-02-26,3.28,3.43,1.99,1
Rangers,Aberdeen,2025-04-07,2.82,3.26,3.41,?
Real Madrid,Valencia,2025-04-02,2.7,3.23,3.08,?
Real Madrid,Valencia,2025-03-23,3.34,2.57,2.45,?
Corinthians,Flamengo,2025-03-02,2.94,3.47,1.98,1
Celtic,Rangers,2025-03-30,1.9,2.75,3.42,?
Fluminense,Sao Paulo,2025-03-20,1.74,3.32,2.77,?
Maritimo,Boavista,2025-02-19,2.7,3.45,2.49,1
Manchester United,Manchester City,2025-02-20,2.43,2.75,2.08,1
Barcelona,Real Madrid,2025-03-11,1.73,2.99,3.03,1
Flamengo,Vasco da Gama,2025-04-06,2.54,2.97,2.68,?
Bologna,Sampdoria,2025-03-10,2.6,2.83,2.04,X
Roma,Napoli,2025-03-10,1.9,2.73,2.81,X
Monza,Spezia,2025-03-07,1.88,3.36,1.63,X
Santos,Gremio,2025-03-21,1.66,3.16,2.65,?
Barcelona,Real Madrid,2025-03-17,1.66,3.34,3.45,X
Torino,Cagliari,2025-03-24,1.89,2.84,2.79,?
Rangers,Aberdeen,2025-03-11,2.26,3.42,1.5,X
Bologna,Sampdoria,2025-03-25,2.3,3.34,3.48,?
Monza,Spezia,2025-04-17,3.24,2.61,3.16,?
Paris Saint-Germain,Marseille,2025-03-26,2.62,2.53,1.72,?
Palmeiras,Corinthians,2025-04-02,2.52,3.32,2.22,?
Corinthians,Fluminense,2025-03-11,2.53,3.25,1.62,1
Tottenham,West Ham United,2025-03-13,1.89,3.18,3.48,X
Juventus,Roma,2025-03-23,2.76,3.37,3.01,?
Bayern Munich,Borussia Dortmund,2025-03-20,3.28,2.68,2.29,?
Valencia,Villarreal,2025-02-25,2.25,2.52,2.08,2
Palmeiras,Corinthians,2025-03-04,1.78,3.34,1.99,1
Tottenham,West Ham United,2025-02-25,1.76,2.56,3.5,X
Fluminense,Sao Paulo,2025-02-16,2.76,3.23,2.29,X
Sevilla,Real Betis,2025-04-11,1.95,3.09,2.42,?
Juventus,Roma,2025-03-23,3.46,2.73,2.66,?
Sassuolo,Empoli,2025-03-13,2.28,3.23,1.61,2
Flamengo,Vasco da Gama,2025-04-01,1.63,3.28,2.45,?
Bayern Munich,Borussia Dortmund,2025-02-20,1.55,2.86,2.79,2
Vélez Sarsfield,Boca Juniors,2025-03-25,1.73,2.5,2.93,?
Napoli,Lazio,2025-04-01,2.79,2.57,2.83,?
Benfica,Portimonense,2025-02-16,2.78,2.65,3.27,2
Bologna,Sampdoria,2025-04-16,1.91,3.34,2.22,?
Manchester City,Chelsea,2025-04-09,2.73,3.44,1.89,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-03-02,1.99,3.32,3.35,2
Lazio,Fiorentina,2025-03-25,2.84,2.65,1.99,?
Persebaya,Arema FC,2025-03-08,2.07,2.51,1.86,2
Villarreal,Real Betis,2025-03-17,2.85,3.41,2.76,2
Napoli,Lazio,2025-04-14,3.36,3.42,2.13,?
Benfica,Portimonense,2025-04-17,2.03,3.23,2.16,?
Barcelona,Real Madrid,2025-04-11,1.97,3.15,2.82,?
Santos,Gremio,2025-02-20,1.57,2.59,3.15,2
Real Madrid,Valencia,2025-03-11,2.29,3.18,3.17,X
Bayern Munich,Borussia Dortmund,2025-03-28,2.74,2.65,2.31,?
Boca Juniors,River Plate,2025-03-06,1.54,2.78,3.26,2
Corinthians,Flamengo,2025-04-10,2.9,2.9,2.09,?
Maritimo,Boavista,2025-03-30,2.42,2.81,2.27,?
Real Sociedad,Athletic Bilbao,2025-02-16,3.38,2.91,2.69,1
Barcelona,Atletico Madrid,2025-02-21,2.27,3.41,3.01,X
Maritimo,Boavista,2025-02-26,2.73,2.55,2.96,2
Real Sociedad,Athletic Bilbao,2025-03-31,2.13,2.86,3.35,?
Juventus,Roma,2025-04-07,2.76,2.57,1.9,?
Sassuolo,Empoli,2025-02-24,1.8,3.26,2.2,2
Chelsea,Liverpool,2025-03-01,2.11,3.26,2.76,1
Monza,Spezia,2025-02-18,3.14,2.72,2.74,2
RB Leipzig,Wolfsburg,2025-03-25,2.53,2.53,3.27,?
Santos,Gremio,2025-02-26,3.24,2.86,1.5,X
Palmeiras,São Paulo,2025-03-19,2.26,2.71,3.08,?
Sevilla,Real Betis,2025-03-29,1.91,3.46,3.1,?
Atlético Madrid,Sevilla,2025-04-11,2.56,3.5,3.42,?
Milan,Inter,2025-04-09,2.42,3.08,2.96,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-02-27,3.11,3.39,2.24,X
Lazio,Inter,2025-03-07,2.78,2.83,1.95,X
Chelsea,Liverpool,2025-03-13,2.67,2.57,2.69,X
Arsenal,Tottenham,2025-03-12,1.67,3.5,1.87,1
Chelsea,Liverpool,2025-03-07,3.46,3.24,1.69,1
Bayern Munich,Borussia Dortmund,2025-02-28,3.01,3.33,2.52,X
Palmeiras,Corinthians,2025-02-23,2.93,2.8,2.04,1
AC Milan,Juventus,2025-04-11,2.87,3.43,3.1,?
Corinthians,Fluminense,2025-02-21,2.86,2.92,2.61,2
Palmeiras,São Paulo,2025-04-10,2.5,2.56,2.84,?
AC Milan,Juventus,2025-03-26,3.11,2.89,3.31,?
Chelsea,Liverpool,2025-02-19,2.23,3.15,2.73,1
Bayer Leverkusen,Bayern Munich,2025-04-09,2.89,2.68,2.04,?
Torino,Cagliari,2025-02-18,1.73,2.57,2.48,1
Boca Juniors,River Plate,2025-03-05,3.14,3.04,2.46,X
Leeds United,Aston Villa,2025-03-14,3.49,2.74,3.1,X
Atlético Madrid,Sevilla,2025-03-24,3.12,3.17,3.4,?
Barcelona,Atletico Madrid,2025-03-29,2.9,3.12,2.28,?
Persebaya,Arema FC,2025-04-01,3.18,2.62,1.72,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-03-28,2.43,2.58,3.36,?
Milan,Inter,2025-02-16,1.79,2.71,3.23,1
FC Porto,Sporting CP,2025-03-10,2.87,3.32,2.4,2
Roma,Napoli,2025-02-20,3.03,2.73,2.75,2
São Paulo,Internacional,2025-04-13,2.52,2.65,2.45,?
Bayern Munich,Borussia Dortmund,2025-04-05,3.32,3.03,2.82,?
Torino,Cagliari,2025-04-04,3.37,2.86,1.88,?
Palmeiras,Corinthians,2025-04-04,2.05,2.99,2.17,?
Milan,Inter,2025-03-11,1.99,3.29,2.93,X
Hellas Verona,Torino,2025-04-14,2.48,3.49,2.88,?
Sevilla,Real Betis,2025-02-16,2.81,3.23,3.45,1
Palmeiras,São Paulo,2025-02-17,3.48,2.91,2.24,X
Celtic,Rangers,2025-03-12,2.0,2.55,1.97,X
Leeds United,Aston Villa,2025-03-12,2.54,3.26,1.96,2
Flamengo,Vasco da Gama,2025-03-01,1.88,2.94,3.38,2
Bayer Leverkusen,Bayern Munich,2025-04-12,2.48,2.52,2.52,?
Valencia,Villarreal,2025-03-14,2.78,3.35,3.05,X
Barcelona,Atletico Madrid,2025-04-13,1.55,3.36,2.34,?
Tottenham,West Ham United,2025-03-24,1.89,2.67,2.71,?
Lazio,Fiorentina,2025-04-15,2.85,3.08,1.7,?
Celtic,Rangers,2025-04-12,2.33,2.64,3.27,?
Bayern Munich,Borussia Dortmund,2025-03-04,1.53,3.34,3.27,X
Palmeiras,São Paulo,2025-02-16,2.49,3.34,1.78,1
Palmeiras,Corinthians,2025-04-11,2.92,3.34,2.98,?
Milan,Inter,2025-03-26,2.69,3.26,1.51,?
Villarreal,Real Betis,2025-04-16,1.91,2.76,1.81,?
Barcelona,Real Madrid,2025-03-21,3.39,2.94,2.09,?
Hellas Verona,Torino,2025-03-29,2.1,2.75,3.19,?
Palmeiras,Corinthians,2025-03-12,2.48,3.1,2.98,2
Manchester City,Chelsea,2025-02-21,2.45,3.32,2.4,1
Palmeiras,São Paulo,2025-04-16,3.05,2.96,2.03,?
Corinthians,Fluminense,2025-04-06,3.48,3.12,3.14,?
Persebaya,Arema FC,2025-02-27,2.53,2.8,1.54,2
Vélez Sarsfield,Boca Juniors,2025-03-20,2.75,2.6,3.28,?
Manchester City,Chelsea,2025-04-12,1.84,3.32,2.42,?
Corinthians,Fluminense,2025-03-21,1.96,3.23,1.58,?
Marseille,Nice,2025-03-13,2.35,2.59,2.73,1
Santos,Gremio,2025-03-13,2.6,3.34,1.83,X
Parma,Verona,2025-04-07,2.59,3.0,2.03,?
Everton,Newcastle United,2025-02-16,2.73,3.31,1.84,1
Monza,Spezia,2025-02-25,3.02,3.47,3.12,2
Maritimo,Boavista,2025-03-07,2.72,3.06,3.06,X
Chelsea,Liverpool,2025-03-13,2.53,3.48,2.4,1
Real Sociedad,Athletic Bilbao,2025-03-25,2.12,3.15,1.92,?
Celtic,Rangers,2025-03-11,2.18,3.45,3.46,X
PSG,Lyon,2025-03-28,1.85,3.44,2.14,?
Chelsea,Liverpool,2025-03-09,1.77,2.95,3.19,2
Paris Saint-Germain,Marseille,2025-02-25,2.67,3.06,1.96,2
Villarreal,Real Betis,2025-04-06,1.57,2.93,2.74,?
Boca Juniors,River Plate,2025-03-29,2.61,3.43,2.52,?
PSG,Lyon,2025-03-22,2.84,2.7,2.07,?
Villarreal,Real Betis,2025-04-02,2.21,3.18,1.61,?
Roma,Napoli,2025-04-11,1.91,3.13,2.19,?
Roma,Napoli,2025-03-21,3.13,2.53,2.9,?
FC Porto,Sporting CP,2025-03-17,1.71,2.83,2.8,2
Parma,Verona,2025-04-09,3.33,3.33,2.52,?
Palmeiras,Corinthians,2025-03-11,3.22,2.94,2.89,X
Fiorentina,Atalanta,2025-04-01,2.77,2.72,1.98,?
Roma,Napoli,2025-03-25,3.05,3.18,1.94,?
Palmeiras,Corinthians,2025-04-17,2.59,2.51,2.65,?
Bayer Leverkusen,Bayern Munich,2025-03-03,2.53,3.43,3.11,1
Real Sociedad,Athletic Bilbao,2025-02-20,2.57,2.72,2.61,2
Marseille,Nice,2025-02-17,2.95,3.32,3.44,1
Milan,Inter,2025-03-11,2.7,2.9,2.79,X
Flamengo,Vasco da Gama,2025-03-31,3.23,2.72,2.89,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-03-12,1.95,3.03,2.35,1
Monza,Spezia,2025-02-16,3.12,2.7,2.21,2
Rangers,Aberdeen,2025-02-16,1.85,3.19,2.8,X
Real Madrid,Valencia,2025-04-12,3.31,3.15,2.18,?
Vélez Sarsfield,Boca Juniors,2025-02-21,2.42,3.0,3.39,2
Barcelona,Atletico Madrid,2025-03-03,2.92,2.78,2.19,X
Benfica,Portimonense,2025-03-31,1.76,3.08,3.21,?
Benfica,Portimonense,2025-03-01,1.88,3.1,2.35,2
Corinthians,Flamengo,2025-02-19,1.58,3.35,1.74,1
Sevilla,Real Betis,2025-03-11,1.63,3.44,3.4,X
Chelsea,Liverpool,2025-04-04,2.53,3.22,2.36,?
Leeds United,Aston Villa,2025-03-05,2.84,3.22,3.41,2
Maritimo,Boavista,2025-03-25,1.59,3.35,1.8,?
Lyon,Lille,2025-04-11,2.18,2.74,1.66,?
Sevilla,Real Betis,2025-02-19,3.2,3.04,2.58,X
RB Leipzig,Wolfsburg,2025-04-11,2.51,2.67,2.55,?
Fluminense,Sao Paulo,2025-04-16,2.5,2.59,1.79,?
Fluminense,Sao Paulo,2025-02-17,3.17,2.99,1.55,X
Barcelona,Atletico Madrid,2025-02-25,2.47,2.93,3.2,X
Borussia Monchengladbach,Eintracht Frankfurt,2025-03-04,3.15,2.97,2.61,1
Napoli,Lazio,2025-04-01,3.33,2.87,2.89,?
Fiorentina,Atalanta,2025-03-11,1.54,2.71,1.76,2
Paris Saint-Germain,Marseille,2025-03-12,2.13,2.63,2.2,2
Bayer Leverkusen,Bayern Munich,2025-03-16,2.29,2.95,2.02,X
PSG,Lyon,2025-03-14,2.28,3.3,1.91,1
Leeds United,Aston Villa,2025-02-21,1.84,3.0,2.28,1
Roma,Napoli,2025-03-23,2.1,2.8,1.71,?
Chelsea,Liverpool,2025-03-15,3.01,3.34,1.96,1
FC Porto,Sporting CP,2025-03-08,1.94,2.82,1.99,X
Celtic,Rangers,2025-03-02,1.91,3.43,1.98,X
Milan,Inter,2025-04-12,3.14,3.0,3.07,?
Palmeiras,São Paulo,2025-04-11,2.84,2.52,3.24,?
Vélez Sarsfield,Boca Juniors,2025-03-17,3.17,2.71,3.5,1
Everton,Newcastle United,2025-03-10,3.11,3.45,3.39,2
São Paulo,Internacional,2025-03-30,2.41,3.15,2.29,?
Manchester United,Manchester City,2025-04-03,3.3,2.99,3.17,?
Real Madrid,Valencia,2025-03-28,3.31,3.39,1.67,?
Bayern Munich,Borussia Dortmund,2025-04-13,3.38,3.46,2.6,?
Boca Juniors,River Plate,2025-04-16,2.61,2.62,2.64,?
Villarreal,Real Betis,2025-03-03,3.09,3.46,3.45,X
Atlético Madrid,Sevilla,2025-04-10,3.23,2.62,1.77,?
Udinese,Salernitana,2025-04-09,2.25,3.35,3.44,?
Sassuolo,Empoli,2025-03-22,2.91,3.45,2.69,?
Leeds United,Aston Villa,2025-03-22,2.67,2.96,2.79,?
Lazio,Fiorentina,2025-04-01,2.0,3.27,1.51,?
Napoli,Lazio,2025-04-06,2.32,3.37,3.22,?
Roma,Napoli,2025-03-16,2.2,3.43,2.89,X
Hellas Verona,Torino,2025-04-02,2.86,2.6,2.87,?
Palmeiras,São Paulo,2025-03-11,2.4,2.9,2.93,1
Maritimo,Boavista,2025-03-29,3.16,2.79,3.03,?
VfB Stuttgart,Borussia Dortmund,2025-04-13,1.85,3.37,1.61,?
Udinese,Salernitana,2025-03-23,3.38,3.38,2.86,?
Monza,Spezia,2025-03-22,1.89,3.28,1.8,?
Leeds United,Aston Villa,2025-03-31,2.37,2.54,3.04,?
Real Madrid,Valencia,2025-02-23,2.5,2.72,2.27,1
Monza,Spezia,2025-03-01,2.48,2.81,2.01,2
Corinthians,Flamengo,2025-04-02,2.19,2.61,1.7,?
Rangers,Aberdeen,2025-03-14,1.63,3.05,2.01,X
Real Sociedad,Athletic Bilbao,2025-03-24,2.41,2.69,3.4,?
Bayer Leverkusen,Bayern Munich,2025-03-17,2.42,3.02,1.6,1
Hellas Verona,Torino,2025-02-20,2.96,2.76,2.4,2
Bayer Leverkusen,Bayern Munich,2025-04-02,1.62,3.27,2.83,?
FC Porto,Sporting CP,2025-04-15,2.72,3.15,1.5,?
Palmeiras,São Paulo,2025-04-09,2.57,3.15,1.73,?
Hellas Verona,Torino,2025-04-08,1.51,3.29,3.13,?
Sevilla,Real Betis,2025-02-17,2.61,2.79,3.33,X
Boca Juniors,River Plate,2025-03-11,3.37,2.62,2.85,2
AC Milan,Juventus,2025-02-23,2.47,2.64,1.72,X
Manchester City,Chelsea,2025-04-17,3.38,3.22,2.56,?
Marseille,Nice,2025-04-16,2.3,3.29,2.14,?
Monza,Spezia,2025-03-11,2.44,2.52,2.53,2
Valencia,Villarreal,2025-03-07,2.92,3.2,2.05,2
Corinthians,Fluminense,2025-04-03,2.58,2.6,2.38,?
Juventus,Roma,2025-04-08,2.84,2.76,3.31,?
AC Milan,Juventus,2025-03-07,1.63,3.47,2.27,X
Napoli,Lazio,2025-03-08,1.76,2.88,2.62,X
Leeds United,Aston Villa,2025-03-24,3.4,3.49,2.91,?
Corinthians,Fluminense,2025-02-19,2.97,3.47,2.12,2
São Paulo,Internacional,2025-03-15,1.55,2.71,1.98,1
Palmeiras,São Paulo,2025-03-14,3.23,2.74,3.31,X
RB Leipzig,Wolfsburg,2025-04-14,2.09,2.53,3.03,?
Palmeiras,São Paulo,2025-03-16,2.34,2.68,3.15,2
Barcelona,Atletico Madrid,2025-03-02,2.51,2.82,1.71,X
Fiorentina,Atalanta,2025-03-15,2.59,3.39,2.11,1
Manchester United,Manchester City,2025-04-12,2.59,2.67,3.49,?
Chelsea,Liverpool,2025-03-06,3.33,3.24,2.16,1
PSG,Lyon,2025-03-20,2.62,3.24,2.75,?
Torino,Cagliari,2025-03-13,1.66,2.73,2.2,1
Udinese,Salernitana,2025-03-03,2.53,2.61,2.49,1
Valencia,Villarreal,2025-03-04,2.11,2.94,2.58,1
Corinthians,Fluminense,2025-04-13,2.38,3.2,3.23,?
Juventus,Roma,2025-03-20,2.55,3.04,1.75,?
Barcelona,Real Madrid,2025-03-21,2.68,2.71,2.49,?
Palmeiras,Corinthians,2025-03-28,1.61,2.9,2.1,?
Tottenham,West Ham United,2025-04-05,3.39,2.82,2.81,?
Milan,Inter,2025-03-05,2.47,2.6,2.85,2
Rangers,Aberdeen,2025-03-23,3.22,3.47,2.62,?
Paris Saint-Germain,Marseille,2025-04-08,3.13,2.65,2.45,?
Palmeiras,Corinthians,2025-03-21,2.82,3.08,2.66,?
Bologna,Sampdoria,2025-02-23,2.36,3.32,3.27,2
Real Madrid,Valencia,2025-04-01,1.79,3.32,3.45,?
Barcelona,Real Madrid,2025-03-07,1.94,3.31,2.12,1
Juventus,Roma,2025-03-10,2.26,3.3,2.47,1
Lyon,Lille,2025-03-31,3.37,3.47,2.63,?
Paris Saint-Germain,Marseille,2025-03-22,2.95,2.66,1.83,?
Real Sociedad,Athletic Bilbao,2025-04-16,2.4,3.3,2.11,?
Fluminense,Sao Paulo,2025-03-14,1.74,3.12,2.4,1
Torino,Cagliari,2025-03-20,2.57,2.97,3.24,?
Sassuolo,Empoli,2025-04-02,3.01,3.42,1.72,?
PSG,Lyon,2025-02-20,2.77,2.55,1.97,X
Bologna,Sampdoria,2025-03-02,2.15,2.79,2.11,2
Tottenham,West Ham United,2025-04-01,2.71,2.85,2.8,?
PSG,Lyon,2025-03-16,1.64,3.09,2.59,1
Chelsea,Liverpool,2025-04-12,2.0,2.81,1.93,?
Everton,Newcastle United,2025-03-15,3.01,3.17,1.62,2
AC Milan,Napoli,2025-03-21,1.85,3.04,2.68,?
Santos,Gremio,2025-04-09,2.97,2.54,2.13,?
Torino,Cagliari,2025-03-21,2.72,3.45,3.29,?
AC Milan,Juventus,2025-04-01,3.21,2.55,1.63,?
Arsenal,Tottenham,2025-04-13,3.25,3.39,2.94,?
Manchester United,Manchester City,2025-03-19,3.43,2.51,2.26,?
Benfica,Portimonense,2025-04-08,3.15,3.34,2.33,?
Marseille,Nice,2025-03-04,2.72,3.2,3.34,X
Fluminense,Sao Paulo,2025-03-06,2.27,3.18,2.77,X
Fluminense,Sao Paulo,2025-03-19,1.78,2.7,2.0,?
Everton,Newcastle United,2025-02-28,2.34,3.27,3.42,1
Bayer Leverkusen,Bayern Munich,2025-04-17,2.96,3.34,2.7,?
Napoli,Lazio,2025-02-23,2.21,2.71,2.55,2
Boca Juniors,River Plate,2025-04-12,2.74,3.06,2.49,?
Benfica,Portimonense,2025-04-01,2.56,2.85,1.95,?
Milan,Inter,2025-02-21,1.96,2.69,1.8,X
Milan,Inter,2025-04-04,2.14,2.73,3.2,?
Hellas Verona,Torino,2025-04-16,1.65,3.08,2.65,?
Santos,Gremio,2025-02-18,3.46,2.86,2.62,2
Vélez Sarsfield,Boca Juniors,2025-03-16,2.51,2.8,2.35,2
Benfica,Portimonense,2025-02-16,3.33,2.85,2.96,X
Corinthians,Fluminense,2025-03-13,3.43,2.87,1.8,X
Parma,Verona,2025-03-31,1.92,3.44,3.4,?
Chelsea,Liverpool,2025-03-01,3.05,3.43,2.57,X
Villarreal,Real Betis,2025-03-22,1.65,2.74,3.18,?
Bayern Munich,Borussia Dortmund,2025-03-11,3.43,3.03,2.53,X
Santos,Gremio,2025-03-21,2.29,2.81,1.64,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-02-28,3.11,3.2,1.67,2
Tottenham,West Ham United,2025-03-22,2.85,3.19,2.68,?
Paris Saint-Germain,Marseille,2025-04-07,3.37,3.05,3.13,?
Lazio,Fiorentina,2025-02-25,2.23,2.78,2.57,X
AC Milan,Juventus,2025-02-18,3.22,3.32,3.19,1
Persebaya,Arema FC,2025-04-01,1.93,3.09,2.35,?
Valencia,Villarreal,2025-02-24,2.73,3.31,1.86,X
Leeds United,Aston Villa,2025-03-11,1.84,2.81,2.19,2
Barcelona,Atletico Madrid,2025-04-15,2.16,3.09,2.98,?
Persebaya,Arema FC,2025-04-13,3.46,2.84,2.32,?
Fluminense,Sao Paulo,2025-03-31,1.68,2.96,2.68,?
Corinthians,Flamengo,2025-03-23,2.46,2.59,3.02,?
Real Sociedad,Athletic Bilbao,2025-03-16,1.62,2.85,2.78,1
Juventus,Roma,2025-03-02,3.25,2.63,2.98,1
AC Milan,Napoli,2025-03-07,2.34,3.18,3.2,X
Udinese,Salernitana,2025-04-08,1.83,2.54,3.04,?
Sevilla,Real Betis,2025-04-12,2.96,2.7,3.47,?
Boca Juniors,River Plate,2025-02-24,2.78,2.7,3.14,2
Juventus,Roma,2025-03-13,1.86,2.92,3.06,2
Barcelona,Atletico Madrid,2025-04-08,2.27,2.68,2.86,?
Chelsea,Liverpool,2025-02-25,2.54,3.34,1.72,2
Bologna,Sampdoria,2025-02-28,2.7,3.5,3.21,2
Monza,Spezia,2025-03-02,3.44,3.44,2.83,2
AC Milan,Napoli,2025-04-01,2.43,3.01,3.45,?
Lyon,Lille,2025-03-13,1.9,3.06,2.45,X
Palmeiras,São Paulo,2025-03-10,3.06,3.11,2.66,1
Hellas Verona,Torino,2025-02-17,2.62,2.69,2.7,2
Marseille,Nice,2025-04-06,1.7,3.31,2.08,?
VfB Stuttgart,Borussia Dortmund,2025-03-12,3.32,2.54,3.18,2
Benfica,Portimonense,2025-02-18,1.64,2.93,1.96,X
Tottenham,West Ham United,2025-02-28,1.71,3.25,3.03,X
Maritimo,Boavista,2025-02-18,3.2,3.06,1.57,1
Barcelona,Atletico Madrid,2025-03-05,3.36,3.23,2.96,2
Barcelona,Atletico Madrid,2025-04-08,2.6,3.21,3.23,?
VfB Stuttgart,Borussia Dortmund,2025-04-16,3.4,3.3,2.4,?
Real Madrid,Valencia,2025-03-28,3.39,2.99,1.94,?
Real Sociedad,Athletic Bilbao,2025-02-23,1.78,3.13,2.64,1
Barcelona,Atletico Madrid,2025-03-12,2.28,2.82,1.52,2
VfB Stuttgart,Borussia Dortmund,2025-03-22,2.13,3.5,3.22,?
Atlético Madrid,Sevilla,2025-02-19,1.89,3.12,2.27,1
Santos,Gremio,2025-03-05,1.59,2.65,2.59,X
Udinese,Salernitana,2025-02-22,1.59,2.55,2.53,X
Santos,Gremio,2025-03-03,3.26,2.88,2.01,2
Fluminense,Sao Paulo,2025-04-06,1.74,3.15,2.98,?
Bayer Leverkusen,Bayern Munich,2025-02-20,2.77,3.38,3.31,2
